# WHICH HARDWARE FEATURES A BITSTREAM ACTUALLY CONTAINS, KEYED ON ITS CONTENT.
#
# WHY THIS FILE EXISTS.  Twice this campaign has measured a feature while running silicon that
# does not contain it: the attention unit's Arm A, and b30_lnab_on_run.json, which dispatched
# LayerNorm to a lane on 0x5A5A0028 -- a bitstream the registry describes, in its own words, as
# the thing 0x5A5A0029 is "plus the two lanes".  A run record faithfully named its soc_magic and
# its bitstream_md5 and then exercised whatever it liked.  Nothing connected the two.
#
# scripts/lib/bitstream_id.sh answers "is this build one a lab has been validated against".
# This file answers the different question "what is INSIDE it", so a lab can be refused BEFORE
# it dispatches to hardware that is not there.
#
# KEYED ON md5, NOT ON MAGIC, DELIBERATELY.  A MAGIC names a CONFIGURATION and travels with a
# variant whose RTL moves underneath it -- MAGIC_REGISTRY.md's own closing note records
# `roccmoonlanes` gaining a third lane while still stamping 0x5A5A002A.  The md5 is the content
# of the file the lab loads and is the one thing a lab cannot assert about itself.  The MAGIC
# column here is what the PL is EXPECTED to read back for that md5, and the gate checks the
# readback against it; a disagreement is a refusal, not a warning.
#
# FAIL CLOSED.  An md5 with no row here has NO known feature set, and a lab that cannot
# determine the feature set must refuse rather than proceed.  Adding a row is a claim about
# silicon: make it from MAGIC_REGISTRY.md's row for that build, in the same commit as the
# registry row, and never from what a lab wishes were true.
#
# FEATURE VOCABULARY (add to it only with a registry row to point at):
#   rocc_engine    the decoupled RoCC engine (mbxr, custom-0) is elaborated in the PL
#   ln_lane        mbxr_ln, the LayerNorm/GroupNorm lane, reachable by custom-1 lgo
#   attn_lane      mbxa_core, the attention unit
#   lut_lane       mbxl_lut, T4's 256-entry pointwise map
#   ln_twopass     the LN streamer replays its word range (0x5A5A002A's ten lines)
#   span_refusal   a range past the 1,024-word activation buffer is REFUSED, not wrapped
#   w_lane         revision 2b's weight half on its own clock behind a private AXI4 lane
#   mul_pipelined  the big core's pipelined multiplier (mulUnroll = 64)
#   l2_skip_clean  patch 0092, the skipped clean Release
#   wgt_int6       the engine's READ PORT expands 6-bit weight codes (mbxr_wunpack, and
#                  mbxr_tseq's phase): four MAC beats over three weight words, selected per
#                  DISPATCH by cfg rs1[48].  A guest that never sets that bit gets, beat for
#                  beat, the machine the build without it is -- so the feature is about what
#                  an int6 IMAGE may be loaded onto, not about what an int8 image gets.  An
#                  image built -DMBXR_RT_WBITS=6 on a build WITHOUT it hands packed codes to a
#                  byte-wide MAC: plausible numbers, silently wrong, and indistinguishable in
#                  any summary from an unpacker defect -- which is why it is a gated feature
#   drain_2d       mbxr_st's `st` descriptor is TWO-DIMENSIONAL (dst, row_bytes, nrows, row_stride)
#                  and the engine drains straight into out[npix][N].  An image built
#                  -DMBXR_RT_DRAIN_STRIDED=1 on a build without it falls back to the flat drain
#                  SILENTLY (mbxr_rt_pick reads the id word), which looks exactly like the
#                  control arm -- so the gate refuses it rather than let it be measured
#   pext           the MBP P-extension -- an image built -DMB_PEXT_HW=1 traps without it
#   mic rgb tacit  the PDM microphone, the RGB GPIO, TACIT
#   camera         the HM01B0 ospi capture + DMA + TLI2C on the Z1 shield
#   bwlab          a bandwidth instrument: no accelerator, no speech lab
#
# md5	magic	variant	features	note
# ---- the RoCC engine family ---------------------------------------------------------------
7475c1b20b34f42e3bbe192f41cee58f	0x5A5A0010	roccmoon	rocc_engine,pext,mic,rgb,tacit	engine revision 1
d14fff71ed95c41aeef2a8bac3c7441d	0x5A5A0011	roccmoonmul	rocc_engine,mul_pipelined,pext,mic,rgb,tacit	rev 1 + pipelined multiplier
144797881f8e35a863640e4c63282238	0x5A5A0012	roccmoon2a	rocc_engine,pext,mic,rgb,tacit	engine revision 2a
033b351d815abc52f2002827ca2f2a7a	0x5A5A0013	roccmoon2b	rocc_engine,w_lane,mul_pipelined,l2_skip_clean,pext,mic,rgb,tacit	2b, the build to measure
0a3737e5a1cea00b88fc5908925b55f2	0x5A5A0013	roccmoon2b	rocc_engine,w_lane,mul_pipelined,l2_skip_clean,pext,mic,rgb,tacit	2b crossing fixes: W lane fills but 40/40 exactness cases FAIL -- a bandwidth build, not an accelerator
074afc4c2a18023ee180721a8c64a6b6	0x5A5A0013	roccmoon2b	rocc_engine,w_lane,mul_pipelined,l2_skip_clean,pext,mic,rgb,tacit	SUPERSEDED by 033b351d; xdc constraint defect
659c6db6ecdbe091a7ff4494881f4e2e	0x5A5A001E	roccmooncam	rocc_engine,camera,pext,mic,rgb,tacit	engine RTL pinned to revision 1
32d10e5d47a4ca1f120f6f6d34e04b4e	0x5A5A0028	roccmoonall	rocc_engine,mul_pipelined,l2_skip_clean,pext,mic,rgb,tacit	NO LANES -- 0x5A5A0029 is this "plus the two lanes"
3710420ad34e9cd93eacb2ca84b4e991	0x5A5A0029	roccmoonlanes	rocc_engine,ln_lane,attn_lane,mul_pipelined,l2_skip_clean,pext,mic,rgb,tacit	two lanes; the LN streamer reads its range ONCE (no ln_twopass)
1e8ea02d47dc9c2c7590a879de6c1d77	0x5A5A002A	roccmoonlanes2	rocc_engine,ln_lane,attn_lane,ln_twopass,mul_pipelined,l2_skip_clean,pext,mic,rgb,tacit	0029 + ten streamer lines; a range past 1,024 words still WRAPS SILENTLY
6145f18bd6b393c4b7db96dc3d5d9dcf	0x5A5A002B	lanesdev	rocc_engine,ln_lane,attn_lane,ln_twopass,span_refusal	LANE DEVELOPMENT CONFIG -- no P-extension, no mic/rgb/tacit, no pipelined multiplier; says nothing about fit or timing
fc26e76dc83e7826206252bd0be64bbe	0x5A5A002C	roccmoonlut	rocc_engine,ln_lane,attn_lane,lut_lane,ln_twopass,mul_pipelined,l2_skip_clean,pext,mic,rgb,tacit	002A + the LUT lane. Its LUT lane HANGS on the first dispatch (mbxl_lut held out_valid across backpressure): rc -68, MBXR_S_ERR|MBXR_S_OVF. Fixed in 0x5A5A002D
1bae0310c1e13048b22b4da9c72901ab	0x5A5A002D	roccmoonlut2	rocc_engine,ln_lane,attn_lane,lut_lane,ln_twopass,mul_pipelined,l2_skip_clean,pext,mic,rgb,tacit	002C with ONE GATE CHANGED in mbxl_lut.v (out_valid = o0_fire). THE WORKING LUT LANE: 44 dispatches, 187,904 bytes, 0 differ. Precondition for EVERY lane on this engine: the word count must be a multiple of 8, or the drain stays busy forever with rc 0
